iter	Passed	Remaining
386	1201	1903
387	1204	1899
388	1206	1894
389	1212	1896
390	1214	1892
391	1217	1887
392	1219	1883
393	1229	1891
394	1231	1886
395	1233	1881
396	1235	1876
397	1237	1871
398	1239	1867
399	1241	1862
400	1243	1857
401	1245	1852
402	1247	1847
403	1249	1843
404	1255	1844
405	1258	1840
406	1261	1837
407	1263	1833
408	1265	1828
409	1267	1823
410	1270	1820
411	1272	1816
412	1274	1811
413	1276	1807
414	1279	1802
415	1281	1798
416	1289	1802
417	1292	1800
418	1298	1800
419	1302	1799
420	1305	1795
421	1307	1791
422	1309	1786
423	1311	1781
424	1316	1781
425	1320	1779
426	1323	1775
427	1325	1771
428	1327	1767
429	1330	1764
430	1334	1761
431	1338	1759
432	1341	1756
433	1342	1751
434	1347	1750
435	1350	1747
436	1352	1742
437	1355	1739
438	1358	1735
439	1361	1733
440	1364	1729
441	1367	1725
442	1370	1723
443	1372	1718
444	1380	1721
445	1386	1721
446	1390	1720
447	1394	1717
448	1397	1714
449	1399	1710
450	1401	1705
451	1409	1708
452	1412	1705
453	1414	1700
454	1416	1696
455	1418	1692
456	1422	1690
457	1425	1686
458	1427	1682
459	1430	1678
460	1432	1674
461	1434	1670
462	1441	1672
463	1443	1667
464	1445	1663
465	1448	1659
466	1451	1656
467	1453	1652
468	1456	1649
469	1458	1644
470	1460	1640
471	1462	1635
472	1464	1631
473	1471	1632
474	1477	1633
475	1479	1628
476	1482	1625
477	1485	1621
478	1487	1617
479	1490	1614
480	1492	1609
481	1494	1605
482	1497	1603
483	1500	1599
484	1502	1595
485	1505	1591
486	1508	1588
487	1510	1584
488	1514	1582
489	1517	1579
490	1518	1574
491	1521	1571
492	1524	1567
493	1526	1563
494	1529	1560
495	1537	1561
496	1539	1557
497	1541	1553
498	1544	1550
499	1546	1546
500	1549	1543
501	1551	1539
502	1553	1534
503	1554	1530
504	1563	1532
505	1566	1529
506	1569	1526
507	1571	1522
508	1577	1522
509	1579	1517
510	1581	1513
511	1583	1508
512	1584	1504
513	1586	1499
514	1587	1495
515	1596	1497
516	1598	1493
517	1600	1489
518	1601	1484
519	1604	1480
520	1607	1478
521	1609	1474
522	1611	1469
523	1616	1468
524	1618	1464
525	1621	1460
526	1627	1460
527	1629	1456
528	1630	1452
529	1633	1448
530	1637	1446
531	1638	1441
532	1640	1437
533	1642	1433
534	1646	1431
535	1648	1427
536	1651	1424
537	1656	1422
538	1658	1418
539	1660	1414
540	1662	1410
541	1665	1407
542	1668	1404
543	1671	1400
544	1673	1396
545	1674	1392
546	1676	1388
547	1678	1384
548	1680	1380
549	1683	1377
550	1689	1377
551	1691	1373
552	1693	1369
553	1695	1365
554	1699	1362
555	1701	1359
556	1703	1354
557	1706	1351
558	1708	1348
559	1711	1344
560	1714	1341
561	1719	1339
562	1722	1336
563	1733	1340
564	1735	1336
565	1737	1332
566	1740	1329
567	1746	1328
568	1749	1324
569	1751	1321
570	1754	1318
571	1758	1315
572	1760	1311
573	1762	1308
574	1764	1304
575	1766	1300
576	1776	1302
577	1778	1298
578	1779	1293
579	1781	1289
580	1783	1286
581	1788	1284
582	1792	1282
583	1794	1278
584	1797	1274
585	1799	1271
586	1802	1268
587	1805	1264
588	1807	1261
589	1810	1257
590	1814	1255
591	1816	1251
592	1818	1247
593	1820	1244
594	1823	1241
595	1831	1241
596	1833	1237
597	1835	1234
598	1841	1232
599	1846	1230
600	1848	1226
601	1852	1224
602	1855	1221
603	1860	1220
604	1865	1217
605	1868	1214
606	1871	1211
607	1873	1207
608	1875	1204
609	1877	1200
610	1884	1199
611	1892	1199
612	1894	1196
613	1896	1192
614	1898	1188
615	1900	1184
616	1904	1182
617	1907	1178
618	1908	1174
619	1910	1170
620	1912	1167
621	1914	1163
622	1920	1162
623	1924	1159
624	1932	1159
625	1936	1157
626	1938	1153
627	1940	1149
628	1943	1146
629	1946	1143
630	1954	1142
631	1957	1139
632	1960	1136
633	1967	1135
634	1969	1131
635	1971	1128
636	1975	1125
637	1982	1124
638	1982	1120
639	1986	1117
640	1989	1114
641	1991	1110
642	1998	1109
643	2001	1106
644	2004	1103
645	2013	1103
646	2016	1100
647	2021	1097
648	2025	1095
649	2028	1092
650	2031	1089
651	2034	1085
652	2038	1083
653	2043	1081
654	2047	1078
655	2051	1075
656	2059	1074
657	2061	1071
658	2064	1068
659	2070	1066
660	2073	1063
661	2075	1059
662	2077	1056
663	2080	1052
664	2082	1049
665	2084	1045
666	2086	1041
667	2088	1038
668	2090	1034
669	2092	1030
670	2099	1029
671	2101	1025
672	2103	1022
673	2104	1018
674	2106	1014
675	2110	1011
676	2113	1008
677	2115	1004
678	2117	1000
679	2118	997
680	2121	993
681	2130	993
682	2133	989
683	2135	986
684	2137	982
685	2140	979
686	2143	976
687	2147	973
688	2149	970
689	2151	966
690	2152	962
691	2159	960
692	2161	957
693	2163	954
694	2166	950
695	2169	947
696	2172	944
697	2174	940
698	2176	937
699	2179	933
700	2181	930
701	2188	929
702	2190	925
703	2193	922
704	2195	918
705	2196	914
706	2199	911
707	2202	908
708	2204	904
709	2206	901
710	2208	897
711	2210	894
712	2212	890
713	2217	888
714	2219	884
715	2221	881
716	2223	877
717	2225	873
718	2226	870
719	2230	867
720	2232	863
721	2234	860
722	2235	856
723	2236	852
724	2238	849
725	2240	845
726	2242	841
727	2245	838
728	2249	836
729	2251	832
730	2253	829
731	2255	825
732	2257	822
733	2258	818
734	2262	815
735	2264	812
736	2266	808
737	2271	806
738	2273	802
739	2278	800
740	2280	797
741	2282	793
742	2284	790
743	2286	786
744	2288	783
745	2291	780
746	2293	776
747	2294	773
748	2296	769
749	2298	766
750	2300	762
751	2302	759
752	2305	756
753	2310	753
754	2313	750
755	2315	747
756	2317	744
757	2321	741
758	2323	737
759	2325	734
760	2327	731
761	2329	727
762	2331	724
763	2333	720
764	2338	718
765	2342	715
766	2344	712
767	2346	708
768	2348	705
769	2351	702
770	2353	699
771	2355	695
772	2357	692
773	2358	688
774	2360	685
775	2362	682
776	2368	679
777	2371	676
778	2374	673
779	2376	670
780	2379	667
781	2382	664
782	2384	660
783	2385	657
784	2387	653
785	2389	650
786	2391	647
787	2396	644
788	2399	641
789	2404	639
790	2406	635
791	2408	632
792	2411	629
793	2413	626
794	2415	622
795	2418	619
796	2420	616
797	2422	613
798	2424	609
799	2429	607
800	2431	604
801	2434	600
802	2437	598
803	2439	594
804	2442	591
805	2444	588
806	2446	585
807	2448	581
808	2449	578
809	2451	575
810	2453	571
811	2456	568
812	2458	565
813	2462	562
814	2466	559
815	2468	556
816	2470	553
817	2472	550
818	2474	546
819	2478	544
820	2481	541
821	2484	538
822	2486	534
823	2488	531
824	2490	528
825	2493	525
826	2495	522
827	2497	518
828	2499	515
829	2501	512
830	2503	509
831	2505	505
832	2510	503
833	2512	500
834	2514	496
835	2516	493
836	2518	490
837	2520	487
838	2523	484
839	2525	480
840	2526	477
841	2528	474
842	2530	471
843	2532	468
844	2534	464
845	2542	462
846	2544	459
847	2547	456
848	2549	453
849	2556	451
850	2558	447
851	2560	444
852	2562	441
853	2564	438
854	2566	435
855	2571	432
856	2575	429
857	2576	426
858	2578	423
859	2580	420
860	2582	416
861	2584	413
862	2586	410
863	2588	407
864	2590	404
865	2592	401
866	2594	398
867	2596	394
868	2603	392
869	2605	389
870	2608	386
871	2610	383
872	2613	380
873	2615	377
874	2618	374
875	2620	370
876	2622	367
877	2624	364
878	2626	361
879	2635	359
880	2637	356
881	2639	353
882	2641	350
883	2646	347
884	2647	344
885	2649	340
886	2651	337
887	2652	334
888	2654	331
889	2656	328
890	2659	325
891	2663	322
892	2666	319
893	2668	316
894	2670	313
895	2672	310
896	2675	307
897	2677	304
898	2679	301
899	2681	297
900	2683	294
901	2685	291
902	2702	290
903	2706	287
904	2709	284
905	2711	281
906	2713	278
907	2715	275
908	2716	271
909	2725	269
910	2727	266
911	2730	263
912	2731	260
913	2735	257
914	2737	254
915	2739	251
916	2741	248
917	2743	245
918	2745	242
919	2747	238
920	2752	236
921	2754	233
922	2756	229
923	2758	226
924	2760	223
925	2761	220
926	2764	217
927	2766	214
928	2768	211
929	2769	208
930	2772	205
931	2774	202
932	2776	199
933	2779	196
934	2783	193
935	2785	190
936	2787	187
937	2789	184
938	2790	181
939	2792	178
940	2797	175
941	2799	172
942	2801	169
943	2803	166
944	2805	163
945	2807	160
946	2810	157
947	2816	154
948	2819	151
949	2822	148
950	2828	145
951	2831	142
952	2833	139
953	2835	136
954	2838	133
955	2844	130
956	2848	127
957	2850	124
958	2851	121
959	2854	118
960	2858	116
961	2862	113
962	2863	110
963	2865	107
964	2867	104
965	2874	101
966	2879	98
967	2882	95
968	2884	92
969	2891	89
970	2893	86
971	2895	83
972	2897	80
973	2900	77
974	2909	74
975	2911	71
976	2913	68
977	2915	65
978	2921	62
979	2923	59
980	2925	56
981	2927	53
982	2929	50
983	2932	47
984	2936	44
985	2940	41
986	2943	38
987	2945	35
988	2946	32
989	2951	29
990	2953	26
991	2957	23
992	2959	20
993	2961	17
994	2962	14
995	2969	11
996	2971	8
997	2972	5
998	2974	2
999	2977	0
