iter	Logloss
0	0.6899144068
1	0.6870031299
2	0.6837433508
3	0.6808964035
4	0.6779019447
5	0.6752501199
6	0.6726925006
7	0.6701797109
8	0.6673085522
9	0.6645867531
10	0.6613772205
11	0.6586996617
12	0.656333757
13	0.6536767037
14	0.6510230079
15	0.648493492
16	0.6458925018
17	0.6434283407
18	0.6410103984
19	0.6388953811
20	0.6365698421
21	0.6347126049
22	0.6324778759
23	0.6301563853
24	0.6281282814
25	0.6263371057
26	0.6246524379
27	0.6225916063
28	0.6210256091
29	0.6187663961
30	0.6172859055
31	0.6149591656
32	0.6129021293
33	0.6114907167
34	0.6096288806
35	0.6082703759
36	0.6068076955
37	0.6046931623
38	0.6030224326
39	0.600777156
40	0.5992569856
41	0.5980284526
42	0.5964767442
43	0.5946838109
44	0.5929383313
45	0.5912513893
46	0.5897827595
47	0.5882513067
48	0.5870665206
49	0.5859685063
50	0.5846007832
51	0.5835368756
52	0.582099968
53	0.580570037
54	0.5790549114
55	0.5775802854
56	0.5762767052
57	0.5748790947
58	0.5734090523
59	0.5719759491
60	0.5710280556
61	0.5696480939
62	0.5687878866
63	0.5674341892
64	0.5663938826
65	0.5652026374
66	0.5639381679
67	0.5629234706
68	0.5616958004
69	0.5607185824
70	0.559388306
71	0.5574930416
72	0.5563323603
73	0.5553499305
74	0.55426478
75	0.5528961594
76	0.5517730125
77	0.5504628705
78	0.5487938595
79	0.5474034125
80	0.546336622
81	0.5448624153
82	0.5437289414
83	0.542995927
84	0.5424068017
85	0.5415469427
86	0.540379053
87	0.5393171451
88	0.5385410765
89	0.537960947
90	0.5367760679
91	0.5359654759
92	0.5349165143
93	0.5343678649
94	0.5331567356
95	0.5320182501
96	0.5310351799
97	0.5300801154
98	0.529056804
99	0.5278625224
100	0.5270016974
101	0.5262016245
102	0.5251310124
103	0.524477893
104	0.5234094356
105	0.5225534085
106	0.5215110636
107	0.5206801475
108	0.5194724379
109	0.5187221015
110	0.5180214091
111	0.5172879031
112	0.5163363391
113	0.5154754791
114	0.5148280848
115	0.5139831261
116	0.5133561323
117	0.5125802222
118	0.5119682637
119	0.5110745528
120	0.5100414057
121	0.5093534815
122	0.5081884466
123	0.5075442059
124	0.5069965114
125	0.5063835113
126	0.5060234831
127	0.5054022351
128	0.5047265268
129	0.5042555857
130	0.5035827965
131	0.5031713832
132	0.5021794639
133	0.5013061055
134	0.5007553005
135	0.499919361
136	0.4991873517
137	0.498504169
138	0.497789537
139	0.4971714428
140	0.4967768081
141	0.4961721391
142	0.4955559289
143	0.4951578575
144	0.4945101986
145	0.4942172304
146	0.4934778057
147	0.4928860118
148	0.4922027263
149	0.4913618816
150	0.4908676674
151	0.490154195
152	0.4895604712
153	0.4891766356
154	0.4886160161
155	0.4879555593
156	0.4872287653
157	0.4867183526
158	0.4860838666
159	0.4853822058
160	0.4848549587
161	0.4843263293
162	0.483653524
163	0.483274724
164	0.4825775832
165	0.4823270524
166	0.481970257
167	0.4808953991
168	0.4804329042
169	0.4799528294
170	0.4793287086
171	0.4789480777
172	0.4785931916
173	0.4780799993
174	0.4771799072
175	0.4766067281
176	0.4763652705
177	0.475860316
178	0.475364349
179	0.4746959632
180	0.474143617
181	0.473661986
182	0.4732302364
183	0.4727531193
184	0.4723113676
185	0.4716816888
186	0.4710183627
187	0.4708428397
188	0.470374566
189	0.4697124523
190	0.4691895336
191	0.468865549
192	0.4684440087
193	0.4680358264
194	0.4675050666
195	0.4667219069
196	0.4663619837
197	0.4661014274
198	0.4660186467
199	0.4656676787
200	0.4651125179
201	0.4648858369
202	0.4643348373
203	0.4639382736
204	0.4634663711
205	0.4630987996
206	0.4623700914
207	0.4621241583
208	0.4615671788
209	0.4611879471
210	0.4609664795
211	0.4607546669
212	0.4601399901
213	0.459824446
214	0.4596142089
215	0.4586500413
216	0.4579494053
217	0.4575946435
218	0.4571402138
219	0.4566618432
220	0.4562385806
221	0.4558990958
222	0.4553029695
223	0.4550310206
224	0.4546367323
225	0.4542125626
226	0.453740742
227	0.4534479511
228	0.4532714215
229	0.453006363
230	0.4526461839
231	0.4523477829
232	0.4518207846
233	0.4512871392
234	0.4508519884
235	0.4505559665
236	0.4505289866
237	0.4501223433
238	0.4496769861
239	0.4493427757
240	0.4487705631
241	0.4483786287
242	0.448272574
243	0.447878713
244	0.4476629124
245	0.4471493675
246	0.4468393151
247	0.4466052143
248	0.446292909
249	0.446034894
250	0.4457430776
251	0.4455790673
252	0.4454312895
253	0.4449779881
254	0.4445226209
255	0.4442627068
256	0.4439817832
257	0.4436908125
258	0.4431815121
259	0.4427550162
260	0.442457664
261	0.4421354088
262	0.4416307915
263	0.4414731097
264	0.4411972662
265	0.4408400309
266	0.4403724683
267	0.4399318168
268	0.439624935
269	0.43895301
270	0.4386399552
271	0.4385704528
272	0.4382122342
273	0.4380113656
274	0.4377667846
275	0.4373774834
276	0.4370878347
277	0.4368386084
278	0.4363309817
279	0.435290535
280	0.4350080094
281	0.4346038705
282	0.4343654512
283	0.4338282849
284	0.4334660344
285	0.4333177431
286	0.4329702123
287	0.4325991833
288	0.4320762716
289	0.4318125236
290	0.4314171348
291	0.4310205733
292	0.4309081633
293	0.4306482902
294	0.4303111666
295	0.4300949605
296	0.4298863117
297	0.4294220277
298	0.4292865992
299	0.4290585227
300	0.4287079558
301	0.4284405645
302	0.4279992141
303	0.4276306806
304	0.4274253755
305	0.4270608833
306	0.4270089214
307	0.4266682788
308	0.4264773987
309	0.4263286132
310	0.426222438
311	0.4259975925
312	0.4256911069
313	0.4253962895
314	0.4250369033
315	0.4246240262
316	0.4241140666
317	0.42377529
318	0.4234254319
319	0.4230295272
320	0.4226228183
321	0.422441729
